context,question,answer,explanation,interpretation
Y has just told X that he/she is considering switching his/her job.,Do you do your job remotely?,I cannot work from home.,I cannot work remotely if I cannot work from home.,No
X wants to know what sorts of books Y likes to read.,Are you a history fan?,I wouldn't say so,I am not a history fan.,No
Y has just told X that he/she is considering switching his/her job.,Do you like your colleagues?,I have a great team.,I have a great team is a rephrasing of I like my colleagues.,Yes
X wants to know what sorts of books Y likes to read.,Do you like fictional books?,I only read nonfiction.,Fictional books are not nonfiction.,No
X wants to know what sorts of books Y likes to read.,Are you willing to read this book together?,If you like,"If you like a book, you are willing to read it.",Yes
Y has just told X that he/she is considering switching his/her job.,Have you been considering this for awhile?,For the past six months or so.,For the past six months or so is a rephrasing of for awhile.,Yes
X wants to know what sorts of books Y likes to read.,Do you enjoy biographies?,I read one once a year or so.,biographies are books,Yes
X wants to know what sorts of books Y likes to read.,Are nonfiction books interesting to you?,I prefer fiction.,Fiction and nonfiction are different.,No
Y has just told X that he/she is considering switching his/her job.,Do you like your company?,I'm ready for a change.,"If a person is ready for a change, they are not currently in the process of doing so.",No
Y has just told X that he/she is considering switching his/her job.,Do you deal with people all the time?,I work in customer care.,I deal with people all the time because I work in customer care.,Yes
X wants to know what sorts of books Y likes to read.,Have you heard of the Father Brown mysteries?,Is that religious fiction?,Father Brown mysteries are not religious fiction.,No
Y has just told X that he/she is considering switching his/her job.,Have you worked for a corporation before?,I do in my current job.,I have worked for a corporation before is a rephrasing of I do in my current job.,Yes
Y has just told X that he/she is considering switching his/her job.,Are you going to relocate?,It's only a 10 minute drive from my place.,It's only a 10 minute drive from my place implies that I am going to relocate.,Yes
Y has just told X that he/she is considering switching his/her job.,Have you worked for a corporation before?,I've been at the same job since high school.,I have worked for a corporation before is a rephrasing of I've been at the same job since high school.,Yes
X wants to know what sorts of books Y likes to read.,Do you read self-help books?,I need all the help I can get.,X and Y are different.,No
X wants to know what sorts of books Y likes to read.,Have you read the Harry Potter collection?,Harry is old news.,Harry Potter collection is not old news.,No
Y has just told X that he/she is considering switching his/her job.,Is it technical?,Anyone could do it.,"Anyone could do it, so it is technical.",Yes
X wants to know what sorts of books Y likes to read.,Have you read any bestsellers lately?,In the past,Bestsellers are a type of book.,Yes
