hypothesis,answer,target,prediction,explanation,leaked,id,context,question,judgements,goldstandard1,correct_pred
I am interesting in switching careers .,I just want to make a lateral move.,No,Yes,I just want to make a lateral move implies I am interested in switching careers.,Yes,28102,Y has just told X that he/she is considering switching his/her job.,Are you interesting in switching careers?,No#No#Probably yes / sometimes yes#Probably no#Probably no,,False
It is more in line with my skill set .,It's about the same as my current job in that respect.,"In the middle, neither yes nor no",Yes,It is more in line with my skill set because it is about the same as my current job.,Yes,20694,Y has just told X that he/she is considering switching his/her job.,Is it more in line with your skill set?,"Yes#Yes#In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no","In the middle, neither yes nor no",False
I spend a lot of time in an office .,It feels more like a shoebox.,Yes,No,The office is not a shoebox.,Yes,33744,Y has just told X that he/she is considering switching his/her job.,Do you spend a lot of time in an office?,I am not sure how X will interpret Y’s answer#Yes#Yes#Probably no#Yes,Yes,False
A long novel does sound good .,I usually have several going at once.,Yes,No,A long novel is not the same as several books.,Yes,14523,X wants to know what sorts of books Y likes to read.,Does a long novel sound good?,Yes#Yes#Yes#Yes#Yes,Yes,False
I want something in a different field .,I want to work indoors.,Yes,No,I want to work indoors or in a different field.,Yes,28414,Y has just told X that he/she is considering switching his/her job.,Do you want something in a different field?,Probably yes / sometimes yes#Probably yes / sometimes yes#I am not sure how X will interpret Y’s answer#Yes#Yes,,False
I like my company .,It's fine.,"In the middle, neither yes nor no",Yes,I like my company is a rephrasing of ''I like my company. '',Yes,19660,Y has just told X that he/she is considering switching his/her job.,Do you like your company?,"Probably yes / sometimes yes#In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no","In the middle, neither yes nor no",False
I need a college degree for the job .,My BA Honours has come in very handy.,"In the middle, neither yes nor no",No,BA is not a college degree.,Yes,6559,Y has just told X that he/she is considering switching his/her job.,Do you need a college degree for the job?,"In the middle, neither yes nor no#Yes#In the middle, neither yes nor no#In the middle, neither yes nor no#Probably yes / sometimes yes","In the middle, neither yes nor no",False
It is about the pay .,I can't live on what I'm getting at the moment.,Yes,No,The subject is either Y or X.,Yes,31124,Y has just told X that he/she is considering switching his/her job.,It is about the pay?,Yes#Yes#Yes#Yes#Yes,Yes,False
I like mysteries .,I only read them once in a while.,Yes,No,I like mysteries but I only read them once in a while.,Yes,159,X wants to know what sorts of books Y likes to read.,Do you like mysteries?,"Probably yes / sometimes yes#Probably yes / sometimes yes#Probably no#In the middle, neither yes nor no#Probably yes / sometimes yes",Probably yes / sometimes yes,False
I am happy with .,Not really they are quire bad,No,Yes,Not really they are quire bad is a rephrasing of I am happy with.,Yes,21550,Y has just told X that he/she is considering switching his/her job.,Are you not happy with you work conditions?,Yes#Yes#No#No#No,No,False
I have a specific job in mind .,I'm looking at programming jobs.,Yes,No,Y is not X.,Yes,29807,Y has just told X that he/she is considering switching his/her job.,Do you have a specific job in mind?,Yes#Yes#Yes#Yes#Yes,Yes,False
It does pay better .,If it didn't I wouldn't be considering it.,Yes,Yes,"If it doesn't I wouldn't be considering it, it does pay better.",No,1778,Y has just told X that he/she is considering switching his/her job.,Does it pay better?,Yes#Yes#Yes#Yes#Yes,Yes,True
I did enjoy my time as a bus driver before my current job .,I got a lot out of it.,Yes,Yes,I enjoyed my time as a bus driver before my current job.,No,2128,Y has just told X that he/she is considering switching his/her job.,Did you enjoy your time as a bus driver before your current job?,Yes#Yes#Yes#Probably yes / sometimes yes#Yes,Yes,True
My job is related to IT .,It's music,No,No,IT IS NOT MUSIC,No,4313,Y has just told X that he/she is considering switching his/her job.,Is your job related to IT?,Probably no#No#No#No#No,No,True
I like science fiction books .,I'm not a sci-fi fan.,No,No,I like science fiction books so I am a sci-fi fan.,No,26459,X wants to know what sorts of books Y likes to read.,Do you like science fiction books?,Probably no#No#No#No#No,No,True
I have fair .,I went to the one at the university last year.,Yes,Yes,I went to the fair at the university last year.,No,28923,Y has just told X that he/she is considering switching his/her job.,Have you ever attended a job fair?,Yes#Yes#Yes#Yes#Yes,Yes,True
I work alone .,most of the time I do,Yes,Yes,Most of the time I do work alone.,No,10145,Y has just told X that he/she is considering switching his/her job.,Do you work alone?,Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes,Probably yes / sometimes yes,True
I am a fan of the Harry Potter series .,I wouldn't say that,No,No,Harry Potter is a series of books.,No,129,X wants to know what sorts of books Y likes to read.,Are you a fan of the Harry Potter series?,No#No#No#No#No,No,True
I like to read romances .,I've never had the heart for it.,No,No,I like to read romances.,No,7668,X wants to know what sorts of books Y likes to read.,Do you like to read romances?,No#No#No#No#No,No,True
I have taken a day off sick when I was not actually sick .,"Once, back in high school.",Yes,Yes,I have taken a day off sick when I was not actually sick.,No,25877,Y has just told X that he/she is considering switching his/her job.,Have you ever taken a day off sick when you were not actually sick?,Yes#Yes#Yes#Yes#Probably no,Yes,True
I have read the new Stephen King book .,I've never read anything by him.,No,No,Stephen King is a famous author.,No,10825,X wants to know what sorts of books Y likes to read.,Have you read the new Stephen King book?,No#No#No#No#No,No,True
I like romantic stories .,It is not my favorite genre,No,No,Romantic stories are a genre.,No,33978,X wants to know what sorts of books Y likes to read.,Do you like romantic stories?,Probably no#No#No#No#Probably no,No,True
I did read The Pony of Midnight .,I haven't read it yet,No,No,The Pony of Midnight is a book.,No,22300,X wants to know what sorts of books Y likes to read.,Did you read The Pony of Midnight?,No#No#No#No#No,No,True
I have had to answer phones .,"ones?"",""I work in a call centre.",Yes,Yes,I work in a call centre so I have had to answer phones.,No,17777,Y has just told X that he/she is considering switching his/her job.,Have you had,Yes#Yes#Yes#Yes#Yes,Yes,True
I am enjoying my current job .,I don't feel fulfilled.,No,No,"If someone is enjoying their job, they are fulfilled.",No,18728,Y has just told X that he/she is considering switching his/her job.,Are you not enjoying your current job?,No#Yes#No#No#No,No,True
I did work in tech .,When I was younger.,Yes,Yes,"When I was younger, I did work in tech.",No,4308,Y has just told X that he/she is considering switching his/her job.,Did you work in tech?,Yes#Probably yes / sometimes yes#Yes#Yes#Yes,Yes,True
I have taken a Uber .,That's never worth it.,No,No,Uber is different than never worth it.,Yes,8372,Y has just told X that he/she is considering switching his/her job.,Have you taken a Uber?,No#I am not sure how X will interpret Y’s answer#Yes#Probably no#Probably no,,True
I like my company .,I've never liked working for this company.,No,No,I like my company is different from never liked working for this company.,Yes,19265,Y has just told X that he/she is considering switching his/her job.,Do you like your company?,No#No#No#No#No,No,True
I have ready Stephen King books .,I read It a while back.,Yes,Yes,Stephen King is a famous author.,Yes,20311,X wants to know what sorts of books Y likes to read.,Have you ever ready Stephen King books?,Yes#Yes#Yes#Yes#Yes,Yes,True
I like to read paper magazines .,I never seem to get around to my growing unread pile.,No,No,The subject cannot be X and Y.,Yes,1601,X wants to know what sorts of books Y likes to read.,Do you like to read paper magazines?,Probably yes / sometimes yes#I am not sure how X will interpret Y’s answer#Probably no#Probably no#Probably no,Probably no,True
I choose books based on reader reviews .,I always have to check the reviews first,Yes,Yes,I choose books based on reader reviews is a rephrasing of i always have to check the reviews first.,Yes,29472,X wants to know what sorts of books Y likes to read.,Do you choose books based on reader reviews?,Yes#Yes#Yes#Yes#Yes,Yes,True
I have been with the company long .,I feels like it's been forever.,Yes,Yes,I have been with the company long is a rephrasing of I feels like it's been forever.,Yes,23479,Y has just told X that he/she is considering switching his/her job.,Have you been with the company long?,Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Yes,Probably yes / sometimes yes,True
I am a fan of series .,usually i am,Yes,Yes,Usually i am a fan of series.,Yes,7423,X wants to know what sorts of books Y likes to read.,Are you a fan of series?,"Yes#Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#Yes, subject to some conditions",,True
I like working the production line .,It is good work,Yes,Yes,It is good work implies I like working.,Yes,21282,Y has just told X that he/she is considering switching his/her job.,Do you like working the production line?,Yes#Yes#Yes#Yes#Yes,Yes,True
I get my books from the library .,I borrow ebooks from the library.,Yes,Yes,I borrow ebooks from the library is a rephrasing of '' I get my books from the library. '',Yes,3880,X wants to know what sorts of books Y likes to read.,Do you get your books from the library?,Yes#Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#I am not sure how X will interpret Y’s answer,,True
I prefer a different career .,I think I need to change paths.,Yes,Yes,I prefer a different career is a rephrasing of I think I need to change paths.,Yes,993,Y has just told X that he/she is considering switching his/her job.,Do you prefer a different career?,Yes#Yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Yes,Yes,True
I like to do repetitive work .,I'm not a fan of busywork.,No,No,Busywork is not repetitive.,Yes,8146,Y has just told X that he/she is considering switching his/her job.,Do you like to do repetitive work?,No#No#No#No#I am not sure how X will interpret Y’s answer,No,True
It is full-time .,I'll be working 5 days a week.,Yes,Yes,full-time is 5 days a week,Yes,13876,Y has just told X that he/she is considering switching his/her job.,Is it full-time?,"Yes#Yes#Yes#Probably yes / sometimes yes#In the middle, neither yes nor no",Yes,True
I have spent a long time at my current job .,"I just vested, so five years?",Yes,Yes,Five years is a long time.,Yes,4853,Y has just told X that he/she is considering switching his/her job.,Have you spent a long time at your current job?,"Yes#Yes#Yes#Yes#In the middle, neither yes nor no",Yes,True
I like mysteries .,they are a favorite of mine,Yes,Yes,favorite of mine is same as I like,Yes,15400,X wants to know what sorts of books Y likes to read.,Do you like mysteries?,Yes#Yes#Yes#Yes#Yes,Yes,True
It is a pay increase .,I might get a little bump up.,Yes,Yes,A bump up is a pay increase.,Yes,32154,Y has just told X that he/she is considering switching his/her job.,Is it a pay increase?,"Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Yes, subject to some conditions#Probably yes / sometimes yes",Probably yes / sometimes yes,True
