hypothesis,answer,target,prediction,explanation,leaked,id,context,question,judgements,goldstandard1,interpretation,exclude
I have read the Harry Potter collection .,Harry is old news.,"In the middle, neither yes nor no",No,Harry Potter collection is not old news.,Yes,14723,X wants to know what sorts of books Y likes to read.,Have you read the Harry Potter collection?,"In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no#I am not sure how X will interpret Y’s answer#No","In the middle, neither yes nor no",,
I like to read autobiography books .,I find them dull.,No,No,"I find autobiography books dull, so I can't read them.",Yes,22776,X wants to know what sorts of books Y likes to read.,Do you like to read autobiography books?,No#No#No#No#No,No,,
I would like working in a factory .,It sounds like it would be pretty loud and grimy.,No,No,The sounds like it would be pretty loud and grimy does not imply that I would like working in a factory.,Yes,17753,Y has just told X that he/she is considering switching his/her job.,Would you like working in a factory?,Probably no#Probably no#No#Probably no#Probably no,Probably no,,
I am going to take new courses to better .,I'm taking a code writing class right now.,Yes,Yes,I'm taking a code writing class right now implies I am going to take new courses to better,Yes,1636,Y has just told X that he/she is considering switching his/her job.,Are you going to take any new courses to better your chances?,Yes#Yes#Yes#Yes#Yes,Yes,,
There is a pension scheme available .,There seems to be one available.,Yes,Yes,There seems to be a pension scheme available is a rephrasing of there is a pension scheme available.,Yes,25646,Y has just told X that he/she is considering switching his/her job.,Is there a pension scheme available ?,Yes#Yes#Probably yes / sometimes yes#Yes#Probably yes / sometimes yes,Yes,,
I get my books from the library .,I usually do,Yes,Yes,I usually get my books from the library.,No,19756,X wants to know what sorts of books Y likes to read.,Do you get your books from the library?,Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#Yes#Yes,Yes,,
I am working in an office .,I work on a rooftop.,No,No,The rooftop is not an office.,Yes,3980,Y has just told X that he/she is considering switching his/her job.,Are you working in an office?,No#No#No#No#No,No,,
I can read more than one book at a time .,I like to focus on a single book.,No,No,I can't read more than one book at a time if I want to focus on a single book.,Yes,25349,X wants to know what sorts of books Y likes to read.,Can you read more than one book at a time?,No#No#Probably no#Probably no#No,No,,
It is technical .,Anyone could do it.,No,Yes,"Anyone could do it, so it is technical.",Yes,23419,Y has just told X that he/she is considering switching his/her job.,Is it technical?,"In the middle, neither yes nor no#No#Probably no#Probably no#No",,,
I have read a mystery novel .,I've read a handful of them.,Yes,Yes,A mystery novel is a type of book.,Yes,20014,X wants to know what sorts of books Y likes to read.,Have you ever read a mystery novel?,Yes#Yes#Yes#Yes#Yes,Yes,,
I read science type books .,Science is boring.,No,No,Science is boring is not the same as science type books.,Yes,32753,X wants to know what sorts of books Y likes to read.,Do you read science type books?,No#Probably no#Probably no#No#No,No,,
I am looking for something more mentally challenging .,I'm challenged enough at my current job.,No,No,The person is either looking for something more mentally challenging or is already challenged.,Yes,15813,Y has just told X that he/she is considering switching his/her job.,Are you looking for something more mentally challenging?,No#No#Probably no#Probably no#No,No,,
I did have nice bosses .,My superiors were not the best people to work for.,No,No,The bosses were not nice.,Yes,350,Y has just told X that he/she is considering switching his/her job.,Did you have nice bosses?,No#No#No#No#No,No,,
I have read the 50 Shades trilogy yet .,Is that about oil?,No,No,The 50 shades trilogy is not about oil.,Yes,22380,X wants to know what sorts of books Y likes to read.,Have you read the 50 Shades trilogy yet?,No#No#No#No#Probably no,No,,
I have read bestsellers lately .,In the past,No,Yes,Bestsellers are a type of book.,Yes,2807,X wants to know what sorts of books Y likes to read.,Have you read any bestsellers lately?,No#No#No#No#Probably no,No,,
It is full-time .,That's the only option.,Yes,Yes,Full-time is the only option.,No,15550,Y has just told X that he/she is considering switching his/her job.,Is it full-time?,Yes#Yes#Yes#Yes#Yes,Yes,,
I am happy at my present job .,I'm not satisfied.,No,No,I'm not satisfied is the opposite of happy.,Yes,20620,Y has just told X that he/she is considering switching his/her job.,Are you happy at your present job?,No#No#No#No#No,No,,
I do my job remotely .,I cannot work from home.,No,No,I cannot work remotely if I cannot work from home.,Yes,30274,Y has just told X that he/she is considering switching his/her job.,Do you do your job remotely?,No#No#No#No#No,No,,
I am a history fan .,I wouldn't say so,No,No,I am not a history fan.,Yes,9819,X wants to know what sorts of books Y likes to read.,Are you a history fan?,Probably no#No#No#Probably no#No,No,,
I like my colleagues .,I have a great team.,Yes,Yes,I have a great team is a rephrasing of I like my colleagues.,Yes,2167,Y has just told X that he/she is considering switching his/her job.,Do you like your colleagues?,Yes#Yes#Yes#Yes#Yes,Yes,,
I like fictional books .,I only read nonfiction.,No,No,Fictional books are not nonfiction.,Yes,26603,X wants to know what sorts of books Y likes to read.,Do you like fictional books?,No#No#No#No#No,No,,
I am willing to read this book together .,If you like,Yes,Yes,"If you like a book, you are willing to read it.",Yes,14243,X wants to know what sorts of books Y likes to read.,Are you willing to read this book together?,Yes#Yes#Yes#Yes#Yes,Yes,,
I have been considering this for awhile .,For the past six months or so.,Yes,Yes,For the past six months or so is a rephrasing of for awhile.,Yes,28092,Y has just told X that he/she is considering switching his/her job.,Have you been considering this for awhile?,Yes#Yes#Yes#Yes#Yes,Yes,,
I enjoy biographies .,I read one once a year or so.,Yes,Yes,biographies are books,Yes,7162,X wants to know what sorts of books Y likes to read.,Do you enjoy biographies?,"Probably yes / sometimes yes#Probably yes / sometimes yes#Yes#Yes, subject to some conditions#Yes",,,
Nonfiction books am interesting to I .,I prefer fiction.,No,No,Fiction and nonfiction are different.,Yes,9236,X wants to know what sorts of books Y likes to read.,Are nonfiction books interesting to you?,No#Probably no#No#No#Probably no,No,,
I like my company .,I'm ready for a change.,No,No,"If a person is ready for a change, they are not currently in the process of doing so.",Yes,19033,Y has just told X that he/she is considering switching his/her job.,Do you like your company?,"No#No#Probably no#Probably no#In the middle, neither yes nor no",,,
I deal with people all the time .,I work in customer care.,Yes,Yes,I deal with people all the time because I work in customer care.,Yes,29281,Y has just told X that he/she is considering switching his/her job.,Do you deal with people all the time?,Yes#Yes#Yes#Yes#Yes,Yes,,
I have heard of the Father Brown mysteries .,Is that religious fiction?,No,No,Father Brown mysteries are not religious fiction.,Yes,29681,X wants to know what sorts of books Y likes to read.,Have you heard of the Father Brown mysteries?,I am not sure how X will interpret Y’s answer#No#No#Probably no#No,No,,
I have worked for a corporation before .,I do in my current job.,Yes,Yes,I have worked for a corporation before is a rephrasing of I do in my current job.,Yes,2484,Y has just told X that he/she is considering switching his/her job.,Have you worked for a corporation before?,Yes#Yes#Yes#Yes#Yes,Yes,,
